"name","iso","country","entity_type","region","area","area_units","gdp","initiatives_committed","num_commit","lat","lng","population","population_year","state"
"Torre Beretti e Castellaro","ITA","Italy","City","Europe",17.66,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.06666667,8.666666667,606,NA,"Lombardy"
"Torre Boldone","ITA","Italy","City","Europe",3.48,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,45.7162722,9.7081894,7764,NA,"Bergamo"
"Torre Mondovì","ITA","Italy","City","Europe",18.54,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,44.323785,7.90482,493,NA,"Cuneo"
"Torre Pacheco","ESP","Spain","City","Europe",189,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,37.743133,-0.9539014,32471,2018,"Murcia"
"Torre Santa Susanna","ITA","Italy","City","Europe",55.77,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,40.464107,17.738528,10552,NA,"Brindisi"
"Torre d'isola","ITA","Italy","City","Europe",16.44,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,45.217372,9.077043,2417,NA,"Pavia"
"Torre de Miguel Sesmero","ESP","Spain","City","Europe",58,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,38.61828,-6.796203,1269,2018,"Badajoz"
"Torre de Moncorvo","PRT","Portugal","City","Europe",531.56,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,41.2,-7.133333333,8497,2011,"Norte"
"Torre de' Busi","ITA","Italy","City","Europe",9.2,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,45.7745244,9.480782,1970,NA,"Lombardy"
"Torre de' Picenardi","ITA","Italy","City","Europe",17.12,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.15,10.28333333,1767,NA,"Lombardy"
"Torre dei Passeri","ITA","Italy","City","Europe",5.92,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,42.23333333,13.93333333,3045,NA,"Abruzzo"
"Torre del Greco","ITA","Italy","City","Europe",30.63,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,40.7879211,14.3682813,85382,NA,"Naples"
"Torre di Mosto","ITA","Italy","City","Europe",38,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.68333333,12.71666667,4758,NA,"Venice"
"Torreón","MEX","Mexico","City","Latin America and Caribbean",1256,"",NA,"Carbonn2019;CDPCities2018",2,25.53944444,-103.4486111,1279160,2015,"Coahuila"
"Torreblascopedro","ESP","Spain","City","Europe",60,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,37.9978262,-3.6352996,2946,2018,"Jaén"
"Torrebruna","ITA","Italy","City","Europe",23.29,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.868133,14.540823,990,NA,"Chieti Province"
"Torrecuso","ITA","Italy","City","Europe",29.16,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,41.188674,14.678125,3426,NA,"Benevento"
"Torredelcampo","ESP","Spain","City","Europe",182,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,37.7702055,-3.8972314,14627,2018,"Jaén"
"Torredonjimeno","ESP","Spain","City","Europe",157,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,37.76666667,-3.95,14074,2018,"Jaén"
"Torrefarrera","ESP","Spain","City","Europe",23.5,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.6735377,0.6066894,4461,2018,"Lleida"
"Torreglia","ITA","Italy","City","Europe",18.85,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,45.336091,11.738406,6190,NA,"Padua"
"Torregrotta","ITA","Italy","City","Europe",4.13,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,38.2,15.35,7446,NA,"Messina"
"Torreiglesias","ESP","Spain","City","Europe",54,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,41.1,-4.033333333,260,2018,"Segovia"
"Torrejón de Ardoz","ESP","Spain","City","Europe",32.49,"km2",NA,"Carbonn2019",1,40.46138889,-3.497777778,130679,2018,"Madrid"
