name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
"Oakville, ON",CAN,City,Canada,139,Carbonn2019;GlobalCovenantofMayors2019;NAZCA,3,43.45,-79.68333333,186400,2016,Ontario,Halton,North America
Oaxaca,MEX,City,Mexico,85,Carbonn2019;Under2Coalition2019,2,17.06777778,-96.72,300050,2014,NA,Latin America and the Caribbean,Latin America and Caribbean
Obcina Ljubno,SVN,City,Slovenia,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,46.3666798,14.6988744,2700,NA,Carinthia,,Europe
Obcina Nazarje,SVN,City,Slovenia,NA,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,46.2862137,14.7727627,2664,NA,Savinja,Slovenia,Europe
Ober-Grafendorf,AUT,City,Austria,24.58,GlobalCovenantofMayors2019;NAZCA,2,48.1500368,15.5438089,5112,NA,Lower Austria,Sankt Pölten-Land,Europe
"Oberlin, OH",USA,City,United States of America,NA,WeAreStillIn2019,1,41.28833333,-82.21666667,8300,NA,Ohio,"Lorain County, OH",North America
Oberschaeffolsheim,FRA,City,France,NA,GlobalCovenantofMayors2019;NAZCA,2,48.58328,7.643219,2170,NA,Grand Est,Strasbourg,Europe
Óbidos,PRT,City,Portugal,NA,GlobalCovenantofMayors2019;NAZCA,2,39.360421,-9.158201,10875,NA,Centro,Leiria,Europe
Obukhiv,UKR,City,Ukraine,24.2,GlobalCovenantofMayors2019;NAZCA,2,50.12105535,30.62061392,33322,2013,Obukhiv Raion,,Eastern Europe and Central Asia
Occhiobello,ITA,City,Italy,32.33,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,44.91666667,11.58333333,11569,NA,Rovigo,,Europe
Occitanie,FRA,Region,France,72724,Under2Coalition2019;NAZCA,2,NA,NA,5774185,2015,NA,,Europe
Ocna Mure<U+0219>,ROU,City,Romania,68.34,GlobalCovenantofMayors2019;NAZCA,2,46.3814028,23.8577354,13036,2002,Alba County,,Europe
Ocnita,MDA,City,Moldova,NA,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,48.3574733,27.2642461,9170,2014,Ocni<U+021B>a District,Ocni<U+021B>a,Eastern Europe and Central Asia
Ocre,ITA,City,Italy,23.6,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,42.28694444,13.47611111,1133,NA,L'Aquila,,Europe
Odawara,JPN,City,Japan,114,Carbonn2019;NAZCA,2,35.25,139.15,194672,2015,Kanagawa Prefecture,,East Asia and the Pacific
Odder,DNK,City,Denmark,6.58,CDPCities2018;GlobalCovenantofMayors2019;NAZCA,3,55.9757,10.15,12354,2020,Central Jutland,NA,Europe
Oden,ESP,City,Spain,304.34,GlobalCovenantofMayors2019;NAZCA,2,42.132771,1.454792,277,2018,Catalonia,Solsonès,Europe
Odena,ESP,City,Spain,52.7,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,41.6068791,1.6422209,3442,2018,Catalonia,Anoia,Europe
Odense,DNK,City,Denmark,304.34,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,55.3997225,10.3852104,193370,2018,South Denmark Region,Southern Denmark,Europe
Oderzo,ITA,City,Italy,42.35,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.78,12.48805556,20413,NA,Treviso,,Europe
Odessa,UKR,City,Ukraine,236.9,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,46.48253,30.72331,1012277,2015,Odessa Oblast,NA,Eastern Europe and Central Asia
Odienne,CIV,City,Cote d'Ivoire,NA,GlobalCovenantofMayors2019;NAZCA,2,9.518875,-7.557223,42408,2014,Denguélé,Kabadougou,Sub-Saharan Africa
Odivelas,PRT,City,Portugal,26.54,GlobalCovenantofMayors2019;NAZCA,2,38.795369,-9.18518,134000,2011,Lisbon,,Europe
Odolo,ITA,City,Italy,6.54,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,45.65,10.38333333,1904,NA,Brescia,,Europe
