name,iso,entity_type,country,area,num_commit,lat,lng,population,population_year,state,admin_1,initiatives_committed,region
Sant'Agapito,ITA,City,Italy,15.93,NA,41.55,14.217,1509,2016,Isernia,Isernia,EUCovenantofMayors2021;GCoM2021,Europe
Sant'Agata Bolognese,ITA,City,Italy,34,NA,44.6625,11.13333,7283,2014,NA,Bologna,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Agata de' Goti,ITA,City,Italy,63.38,2,41.089581,14.499895,11268,2016,Benevento,,EUCovenantofMayors2021;GCoM2021,Europe
Sant'Agata di Puglia,ITA,City,Italy,115.8,NA,41.15278,15.38083,2305,2017,Foggia,Foggia,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Agata Li Battiati,ITA,City,Italy,3.1,NA,37.516999999999996,15.067,9546,NA,NA,Catania,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Agata sul Santerno,ITA,City,Italy,9.5,NA,44.433,11.867,2873,2016,Ravenna,Ravenna,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Agnello,ITA,City,Italy,4.15,2,40.622225,14.405381,9133,2010,Campania,Naples,EUCovenantofMayors2021;GCoM2021,Europe
Sant'Alessio Siculo,ITA,City,Italy,6.2,NA,37.917,15.35,1536,2011,NA,Messina,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Alfio,ITA,City,Italy,25.86,3,37.75,15.13333333,1626,2015,Sicily,Catania,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Ambrogio di Valpolicella,ITA,City,Italy,23.5,NA,45.516999999999996,10.833,11700,NA,Verona,Verona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant'Ambrogio Sul Garigliano,ITA,City,Italy,9.03,2,41.389018,13.871515,987,NA,Frosinone,,EUCovenantofMayors2021;GCoM2021,Europe
Sant'Anastasia,ITA,City,Italy,18.74,3,40.86666667,14.4,28858,2016,Naples,,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
